MatchID,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
59266,53.9,46.1,5,1,16,5,727,645,565,489,14,17,10,18,11,3,2,1,,,10,8,,
59267,28.8,71.2,3,7,6,23,431,797,250,598,14,18,36,6,2,9,0,2,3,4,11,12,0,1
59268,64.3,35.7,0,4,14,10,778,517,596,333,18,13,13,30,5,4,1,0,1,0,12,6,,
59269,64.4,35.6,9,5,17,14,685,465,499,268,21,19,11,17,8,3,3,3,2,1,12,12,,
59270,47,53,6,4,10,11,651,710,444,492,28,18,14,13,8,7,3,1,0,2,9,8,,
59271,69.6,30.4,5,4,19,5,780,427,588,263,15,24,5,21,14,1,2,1,2,2,10,8,,
59272,67.7,32.3,11,3,21,8,893,489,725,340,10,12,10,18,7,5,1,1,2,2,8,10,,
59273,43,57,3,3,12,10,552,664,361,482,19,16,29,19,8,9,2,1,3,1,11,1,,
59274,36.9,63.1,7,5,14,17,483,715,300,534,12,23,12,11,2,3,5,2,0,3,5,9,,
59275,57.2,42.8,4,4,14,9,744,634,571,440,19,14,7,26,6,2,1,1,4,1,14,3,,
59260,41,59,4,3,14,9,580,750,377,528,21,12,33,10,7,12,,,0,2,11,11,,
59262,50.9,49.1,5,1,16,11,678,622,487,462,8,17,20,15,5,2,2,4,0,2,7,7,,
59264,60.8,39.2,4,4,10,20,759,570,569,367,21,18,14,15,4,5,2,3,1,1,14,13,,
59259,31.3,68.7,6,3,12,6,455,791,258,603,20,8,23,18,6,7,3,2,2,1,7,7,,
59257,41.2,58.8,4,3,10,20,560,777,389,584,14,15,14,41,6,7,1,1,,,10,7,,
59265,52.5,47.5,4,9,14,21,558,530,357,326,10,16,21,34,6,8,2,1,2,2,8,11,,
59261,57.1,42.9,6,5,13,8,721,599,544,410,13,25,9,20,6,1,4,1,2,3,10,15,,
59263,51.3,48.7,3,7,18,15,620,588,392,375,23,35,13,14,4,4,2,1,0,3,10,12,,
59256,62.7,37.3,6,4,19,8,782,532,607,361,18,15,10,25,5,3,3,1,3,3,13,11,0,1
59258,58.6,41.4,6,3,17,7,760,568,549,381,19,23,18,15,6,5,1,0,2,5,15,16,,
59250,23.7,76.3,3,6,9,26,399,886,200,699,16,8,32,17,9,13,3,2,,,7,14,,
59248,62.4,37.6,6,3,16,10,824,573,635,385,21,14,15,26,11,4,0,3,1,3,8,12,,
59246,51.1,48.9,2,3,10,15,732,713,595,552,9,6,18,6,3,3,0,2,1,0,7,5,,
59252,45.5,54.5,8,5,23,19,533,625,325,393,15,13,22,30,7,7,2,2,3,2,23,13,,
59255,61.9,38.1,13,3,24,15,765,547,584,360,11,20,6,23,10,3,2,3,1,0,8,11,,
59253,17.9,82.1,5,6,11,15,353,1093,195,925,13,21,21,13,4,5,1,0,2,2,11,10,,
59247,48.2,51.8,4,6,16,16,586,611,418,440,12,11,20,23,6,8,2,6,1,1,10,10,,
59254,46.2,53.8,7,3,11,10,673,740,470,547,19,23,14,14,6,5,3,1,0,1,9,15,,
59077,58,42,2,5,13,15,671,514,502,362,7,9,16,17,9,1,0,2,2,1,9,12,,
59231,53.3,46.7,3,8,18,17,714,656,511,454,22,16,12,18,6,4,1,1,3,0,10,12,,
59251,67.7,32.3,5,2,19,5,938,532,765,369,4,14,5,37,9,1,4,2,0,1,7,6,,
59249,53.1,46.9,1,3,4,12,728,650,561,491,12,17,14,9,3,4,3,0,,,9,12,,
59214,62.7,37.3,6,4,13,11,716,501,531,311,13,17,22,17,12,8,1,2,2,3,20,13,,
59238,68,32,3,5,21,14,755,462,521,253,16,17,13,42,8,4,4,1,2,0,11,10,,
59244,68.6,31.4,0,3,11,9,809,471,606,278,16,24,11,34,5,6,2,2,2,1,8,10,,
59236,65.7,34.3,7,1,15,12,747,455,576,288,11,14,25,12,6,6,1,2,1,2,7,9,,
59242,48.3,51.7,4,5,16,12,711,738,537,580,18,15,11,11,6,2,1,5,2,0,12,10,,
59241,54.1,45.9,6,6,14,12,757,663,557,480,15,18,15,18,8,4,4,1,0,1,10,6,,
59245,60.7,39.3,6,3,16,5,752,567,569,373,14,15,12,27,10,5,0,2,2,2,12,7,0,2
59237,41.1,58.9,5,7,11,18,560,738,383,563,14,10,20,19,5,6,,,1,1,13,18,1,0
59240,68.3,31.7,9,6,25,14,799,469,596,274,13,9,14,38,9,6,2,1,1,1,12,9,,
59239,53.3,46.7,7,3,16,11,656,606,442,395,20,15,21,17,8,6,1,2,1,2,12,10,,
59243,49.8,50.2,0,8,7,21,618,623,412,423,22,21,18,11,5,11,2,1,1,1,11,8,,
