MatchID,Home_team,Away_team,Score_home,Score_away,Possession_home,Possession_away,Shots_on_target_home,Shots_on_target_away,Shots_home,Shots_away,Touches_home,Touches_away,Passes_home,Passes_away,Tackles_home,Tackles_away,Clearances_home,Clearances_away,Corners_home,Corners_away,Offsides_home,Offsides_away,Yellow_cards_home,Yellow_cards_away,Fouls_conceded_home,Fouls_conceded_away,Red_cards_home,Red_cards_away
38678,Brighton,Man City,1,4,23.7,76.3,2.0,9.0,6.0,20.0,401.0,955.0,245.0,796.0,16.0,15.0,41.0,5.0,2.0,6.0,1.0,1.0,0.0,0.0,12.0,8.0,0.0,0.0
38679,Burnley,Arsenal,1,3,39.7,60.3,5.0,6.0,14.0,17.0,527.0,714.0,341.0,533.0,15.0,11.0,21.0,27.0,4.0,5.0,4.0,0.0,5.0,1.0,11.0,3.0,0.0,0.0
38680,Crystal Palace,Bournemouth,5,3,45.0,55.0,8.0,8.0,17.0,16.0,627.0,713.0,429.0,517.0,16.0,18.0,23.0,19.0,4.0,4.0,4.0,1.0,3.0,0.0,11.0,8.0,0.0,0.0
38681,Fulham,Newcastle,0,4,68.1,31.9,2.0,6.0,16.0,13.0,940.0,532.0,765.0,358.0,12.0,15.0,7.0,38.0,5.0,5.0,1.0,1.0,1.0,0.0,6.0,8.0,0.0,0.0
38682,Leicester,Chelsea,0,0,46.9,53.1,3.0,4.0,9.0,14.0,644.0,711.0,470.0,533.0,16.0,12.0,17.0,16.0,4.0,5.0,1.0,2.0,0.0,1.0,9.0,8.0,0.0,0.0
38683,Liverpool,Wolves,2,0,59.0,41.0,5.0,2.0,13.0,7.0,784.0,581.0,603.0,427.0,16.0,14.0,15.0,20.0,4.0,1.0,3.0,1.0,0.0,2.0,3.0,11.0,0.0,0.0
38684,Man Utd,Cardiff,0,2,73.6,26.4,10.0,4.0,26.0,13.0,811.0,404.0,620.0,223.0,15.0,16.0,13.0,20.0,11.0,2.0,3.0,0.0,3.0,3.0,9.0,6.0,0.0,0.0
38685,Southampton,Huddersfield,1,1,53.7,46.3,3.0,3.0,10.0,10.0,659.0,579.0,447.0,388.0,12.0,27.0,16.0,26.0,4.0,3.0,1.0,2.0,0.0,1.0,8.0,6.0,0.0,0.0
38686,Spurs,Everton,2,2,55.0,45.0,3.0,9.0,11.0,16.0,740.0,638.0,543.0,436.0,22.0,16.0,17.0,17.0,7.0,4.0,2.0,1.0,0.0,2.0,10.0,13.0,0.0,0.0
38687,Watford,West Ham,1,4,48.3,51.7,8.0,9.0,17.0,16.0,586.0,674.0,419.0,460.0,17.0,15.0,12.0,34.0,7.0,2.0,4.0,1.0,1.0,0.0,10.0,10.0,1.0,0.0
38674,Man City,Leicester,1,0,61.0,39.0,5.0,2.0,19.0,7.0,817.0,608.0,636.0,416.0,14.0,22.0,10.0,44.0,11.0,0.0,2.0,0.0,3.0,2.0,12.0,5.0,0.0,0.0
38668,Arsenal,Brighton,1,1,70.5,29.5,8.0,5.0,20.0,11.0,783.0,450.0,564.0,235.0,11.0,22.0,17.0,36.0,16.0,3.0,2.0,4.0,5.0,2.0,9.0,14.0,0.0,0.0
38670,Cardiff,Crystal Palace,2,3,39.3,60.7,8.0,7.0,18.0,21.0,499.0,689.0,276.0,446.0,21.0,16.0,23.0,29.0,10.0,5.0,1.0,2.0,0.0,0.0,14.0,11.0,0.0,0.0
38675,Newcastle,Liverpool,2,3,30.9,69.1,7.0,4.0,14.0,11.0,469.0,851.0,294.0,677.0,12.0,13.0,27.0,22.0,2.0,3.0,4.0,2.0,1.0,1.0,10.0,4.0,0.0,0.0
38671,Chelsea,Watford,3,0,58.4,41.6,9.0,3.0,19.0,16.0,747.0,570.0,537.0,382.0,22.0,14.0,26.0,15.0,6.0,6.0,1.0,3.0,0.0,1.0,6.0,12.0,0.0,0.0
38673,Huddersfield,Man Utd,1,1,35.8,64.2,3.0,7.0,7.0,23.0,506.0,805.0,332.0,600.0,18.0,15.0,20.0,20.0,3.0,7.0,2.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0
38672,Everton,Burnley,2,0,60.1,39.9,6.0,1.0,20.0,5.0,764.0,565.0,555.0,369.0,20.0,17.0,22.0,34.0,8.0,1.0,1.0,2.0,0.0,2.0,8.0,9.0,0.0,0.0
38669,Bournemouth,Spurs,1,0,53.6,46.4,6.0,5.0,20.0,11.0,643.0,595.0,439.0,404.0,15.0,15.0,15.0,20.0,10.0,6.0,1.0,3.0,1.0,5.0,11.0,12.0,0.0,2.0
38676,West Ham,Southampton,3,0,56.3,43.7,6.0,1.0,17.0,11.0,728.0,572.0,520.0,384.0,18.0,14.0,26.0,13.0,2.0,7.0,3.0,1.0,1.0,1.0,2.0,11.0,0.0,0.0
38677,Wolves,Fulham,1,0,39.2,60.8,6.0,2.0,19.0,6.0,546.0,782.0,376.0,601.0,19.0,13.0,13.0,36.0,7.0,1.0,1.0,0.0,1.0,3.0,10.0,15.0,0.0,0.0
38664,Man Utd,Chelsea,1,1,51.7,48.3,5.0,3.0,7.0,16.0,653.0,617.0,467.0,422.0,15.0,15.0,12.0,19.0,6.0,6.0,5.0,5.0,3.0,2.0,9.0,14.0,0.0,0.0
38658,Brighton,Newcastle,1,1,49.8,50.2,2.0,1.0,9.0,9.0,653.0,669.0,461.0,488.0,11.0,23.0,23.0,31.0,7.0,4.0,3.0,0.0,2.0,3.0,7.0,10.0,0.0,0.0
38662,Leicester,Arsenal,3,0,67.2,32.8,12.0,1.0,24.0,6.0,816.0,491.0,610.0,293.0,19.0,16.0,25.0,20.0,8.0,6.0,2.0,3.0,3.0,1.0,13.0,13.0,0.0,1.0
38659,Burnley,Man City,0,1,30.1,69.9,0.0,7.0,2.0,25.0,442.0,814.0,263.0,608.0,16.0,13.0,31.0,21.0,0.0,6.0,2.0,3.0,1.0,1.0,5.0,7.0,0.0,0.0
38663,Liverpool,Huddersfield,5,0,70.3,29.7,7.0,1.0,21.0,5.0,927.0,479.0,726.0,306.0,19.0,23.0,11.0,20.0,4.0,4.0,2.0,4.0,0.0,0.0,5.0,14.0,0.0,0.0
38666,Spurs,West Ham,0,1,63.0,37.0,4.0,7.0,14.0,16.0,847.0,579.0,614.0,351.0,20.0,21.0,25.0,21.0,2.0,7.0,5.0,3.0,0.0,2.0,3.0,8.0,0.0,0.0
38660,Crystal Palace,Everton,0,0,36.1,63.9,0.0,3.0,8.0,22.0,564.0,777.0,313.0,543.0,21.0,20.0,36.0,19.0,5.0,10.0,4.0,0.0,2.0,0.0,9.0,15.0,0.0,0.0
38661,Fulham,Cardiff,1,0,73.0,27.0,2.0,8.0,8.0,13.0,833.0,434.0,623.0,220.0,22.0,28.0,25.0,32.0,10.0,3.0,1.0,3.0,0.0,0.0,10.0,8.0,0.0,0.0
38665,Southampton,Bournemouth,3,3,44.4,55.6,7.0,5.0,22.0,9.0,586.0,661.0,351.0,459.0,25.0,19.0,20.0,30.0,9.0,3.0,0.0,0.0,2.0,1.0,8.0,9.0,0.0,0.0
38667,Watford,Wolves,1,2,56.5,43.5,1.0,4.0,10.0,11.0,716.0,597.0,495.0,386.0,17.0,22.0,34.0,34.0,4.0,5.0,3.0,5.0,3.0,2.0,10.0,11.0,0.0,0.0
38617,Wolves,Arsenal,3,1,29.6,70.4,3.0,1.0,11.0,11.0,445.0,841.0,285.0,690.0,15.0,7.0,18.0,3.0,5.0,5.0,1.0,3.0,2.0,3.0,12.0,9.0,0.0,0.0
38613,Man Utd,Man City,0,2,36.8,63.2,1.0,5.0,12.0,8.0,565.0,874.0,406.0,702.0,13.0,14.0,12.0,11.0,1.0,1.0,0.0,2.0,2.0,2.0,10.0,10.0,0.0,0.0
38635,Spurs,Brighton,1,0,78.5,21.5,5.0,1.0,29.0,6.0,902.0,383.0,713.0,194.0,15.0,18.0,11.0,37.0,6.0,3.0,2.0,1.0,1.0,2.0,7.0,13.0,0.0,0.0
38615,Watford,Southampton,1,1,62.2,37.8,4.0,4.0,15.0,8.0,800.0,567.0,599.0,359.0,14.0,21.0,12.0,27.0,3.0,4.0,4.0,5.0,5.0,2.0,10.0,14.0,0.0,0.0
38651,Chelsea,Burnley,2,2,76.4,23.6,9.0,3.0,22.0,6.0,899.0,425.0,681.0,219.0,15.0,15.0,12.0,48.0,10.0,1.0,1.0,2.0,2.0,1.0,9.0,4.0,0.0,0.0
38648,Arsenal,Crystal Palace,2,3,72.6,27.4,5.0,7.0,12.0,16.0,881.0,464.0,656.0,249.0,15.0,27.0,6.0,30.0,8.0,3.0,1.0,2.0,4.0,1.0,15.0,12.0,0.0,0.0
