matchID,homeP1,homeP2,homeP3,homeP4,homeP5,homeP6,homeP7,homeP8,homeP9,homeP10,homeP11,awayP1,awayP2,awayP3,awayP4,awayP5,awayP6,awayP7,awayP8,awayP9,awayP10,awayP11
14410,Petr Cech,Gabriel Paulista,Laurent Koscielny,Rob Holding,Héctor Bellerín,Aaron Ramsey,Nacho Monreal,Granit Xhaka,Alexis Sánchez,Mesut Özil,Danny Welbeck,Joel Robles,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Romelu Lukaku,Kevin Mirallas,Enner Valencia
14411,Tom Heaton,Matthew Lowton,James Tarkowski,Stephen Ward,Kevin Long,Robert Brady,Jeff Hendrick,Ashley Westwood,Scott Arfield,Andre Gray,Sam Vokes,Adrián,José Fonte,James Collins,Angelo Ogbonna,Aaron Cresswell,Edimilson Fernandes,Sam Byram,Manuel Lanzini,Sofiane Feghouli,André Ayew,Robert Snodgrass
14412,Thibaut Courtois,John Terry,César Azpilicueta,David Luiz,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,Victor Moses,Eden Hazard,Willian,Diego Costa,Jordan Pickford,Billy Jones,Joleon Lescott,John O'Shea,Bryan Oviedo,Lee Cattermole,Sebastian Larsson,Jack Rodwell,Javier Manquillo,Fabio Borini,Adnan Januzaj
14413,David Marshall,Curtis Davies,Andrea Ranocchia,Michael Dawson,Alfred N'Diaye,Omar Elabdellaoui,Tom Huddlestone,Josh Tymon,Sam Clucas,Jarrod Bowen,Oumar Niasse,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Jan Vertonghen,Ben Davies,Son Heung-Min,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Harry Kane
14414,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Christian Fuchs,Yohan Benalouane,Andy King,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Islam Slimani,Ryan Allsop,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Dan Gosling,Andrew Surman,Marc Pugh,Junior Stanislas,Lys Mousset,Ryan Fraser
14415,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Joël Matip,Philippe Coutinho,Georginio Wijnaldum,Adam Lallana,Emre Can,Roberto Firmino,Daniel Sturridge,Bradley Guzan,Fábio,George Friend,Ben Gibson,Calum Chambers,Grant Leadbitter,Adam Clayton,Adam Forshaw,Patrick Bamford,Rudy Gestede,Stewart Downing
14416,Joel Pereira,Eric Bailly,Phil Jones,Timothy Fosu-Mensah,Demetri Mitchell,Paul Pogba,Axel Tuanzebe,Scott McTominay,Josh Harrop,Wayne Rooney,Jesse Lingard,Wayne Hennessey,Joel Ward,James Tomkins,Jeffrey Schlupp,Martin Kelly,Luka Milivojevic,James McArthur,Jason David Ian Puncheon,Patrick van Aanholt,Wilfried Zaha,Christian Benteke
14417,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Oriol Romeu,James Ward-Prowse,Steven Davis,Nathan Redmond,Dusan Tadic,Charlie Austin,Jack Butland,Bruno Martins Indi,Ryan Shawcross,Geoff Cameron,Erik Pieters,Joe Allen,Glenn Whelan,Mame Biram Diouf,Xherdan Shaqiri,Peter Crouch,Ramadan Sobhi
14418,Kristoffer Nordfeldt,Martin Olsson,Alfie Mawson,Federico Fernández,Kyle Naughton,Leon Britton,Leroy Fer,Tom Carroll,Fernando Llorente,Jordan Ayew,Gylfi Sigurdsson,Ben Foster,Jonny Evans,Marc Wilson,Craig Dawson,Allan-Roméo Nyom,Claudio Yacob,Jake Livermore,Chris Brunt,Darren Fletcher,James Morrison,Salomón Rondón
14419,Heurelho Gomes,Daryl Janmaat,Valon Behrami,José Holebas,Brandon Mason,Nordin Amrabat,Tom Cleverley,Abdoulaye Doucouré,Etienne Capoue,M'Baye Niang,Stefano Okaka,Willy Caballero,Vincent Kompany,Gaël Clichy,Fernandinho,Nicolás Otamendi,Gabriel Jesus,Kevin De Bruyne,Leroy Sané,David Silva,Yaya Touré,Sergio Agüero
14375,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Christian Fuchs,Yohan Benalouane,Marc Albrighton,Daniel Amartey,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Shinji Okazaki,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Eric Dier,Victor Wanyama,Moussa Sissoko,Mousa Dembélé,Ben Davies,Son Heung-Min,Harry Kane,Dele Alli
14319,Fraser Forster,Cédric Soares,Maya Yoshida,Matt Targett,Jack Stephens,Oriol Romeu,James Ward-Prowse,Steven Davis,Dusan Tadic,Nathan Redmond,Manolo Gabbiadini,Sergio Romero,Eric Bailly,Phil Jones,Chris Smalling,Matteo Darmian,Juan Mata,Anthony Martial,Henrikh Mkhitaryan,Marouane Fellaini,Axel Tuanzebe,Wayne Rooney
